Column1,Column2
"Wanidu Hasaranga to Fakhar Zaman, no run, oh! Zaman goes for the reverse sweep and is almost bowled behind his legs. The leg-break dips and turns in to beat the bat, goes past the leg-stump",17.3
"Wanidu Hasaranga to Fakhar Zaman, FOUR, edged and four. Hasaranga cannot believe it. The leg-break that turns in and Zaman plays inside the line, the outside edge runs away through the vacant slip region",17.2
"Wanidu Hasaranga to Fakhar Zaman, no run, plays the late dab off the stumps towards backward point",17.1
"Jayasuriya to Fakhar Zaman, 1 run, drifts into the left hander and Zaman eases it down to long-on",16.6
"Jayasuriya to Fakhar Zaman, FOUR, Pakistan keep collecting the boundary for the over. There was width on offer and Zaman decides to go over extra cover, used his reach and spanked it over the fielder, couple of bounces and into the fence",16.5
"Jayasuriya to Abid Ali, 1 run, once again picks the length quickly and pulls it over mid-wicket, there's a fielder tidying up in the deep",16.4
"Jayasuriya to Abid Ali, no run, spinning down leg and Ali gloves the sweep to short fine. It would have been a wide had he let go",16.3
"Jayasuriya to Fakhar Zaman, 1 run, flatter and sliding on, Zaman punches it down to long-on",16.2
"Jayasuriya to Abid Ali, 1 run, fraction short and Ali almost falls over as he pulls it to deep backward square",16.1
"Wanidu Hasaranga to Fakhar Zaman, FOUR, that's a proper Fakhar Zaman sweep shot. Goes down on his knees and absolutely nails it, beats the man at deep square leg and collects a boundary",15.6
"Wanidu Hasaranga to Fakhar Zaman, no run, pushes it to the off-side",15.5
"Wanidu Hasaranga to Fakhar Zaman, FOUR, streaky but Fakhar Zaman would take it. It was wide of off, Fakhar Zaman goes back in the crease and outside edges the push. It beats the short third man fielder for a boundary",15.4
"Wanidu Hasaranga to Fakhar Zaman, no run, full and wide of off, Fakhar Zaman reaches for it and pushes it away to cover",15.3
"Wanidu Hasaranga to Fakhar Zaman, no run, another delivery spinning into Fakhar Zaman, he misses the inside edge and it raps him on the pads. Sliding down leg!",15.2
"Wanidu Hasaranga to Fakhar Zaman, no run, full and spinning into Fakhar Zaman, he defends it back to the bowler",15.1
"Jayasuriya to Fakhar Zaman, 1 run, stays in the crease and tucks it to deep mid-wicket",14.6
