Column1,Column2
"Hardik Pandya to Williamson, 1 run, this was close! Fullish inswinger, heading towards the pads and Williamson had to connect the flick, which he did. Gets it to the right of Chahal at mid-on",12.4
"Hardik Pandya to Williamson, no run, on a length angling in from outside off, defended well from the crease",12.3
"Hardik Pandya to Williamson, no run, very full and angling in from outside off, nudged with soft hands towards gully",12.2
"Hardik Pandya to Latham, 1 run, run out chance but Chahal doesn't gather it cleanly! Was driven firmly towards him at mid-off and the batsmen went for the risky single. Latham would have been in trouble for sure if there was a direct hit",12.1
"Shankar to Williamson, no run, fuller and outside off, driven firmly back to the bowler",11.6
"Shankar to Latham, 1 run, walks across quite a bit and glances this down to fine leg. Would have been a goner if he missed this",11.5
"Shankar to Latham, no run, the hard length around off, Latham is on the move as he defends this towards cover",11.4
"Shankar to Latham, no run, pitched up and holds its line a bit to square Latham up, patted to cover",11.3
"Shankar to Williamson, 1 run, fuller and wider outside off, driven through the covers for a single",11.2
"Shankar to Williamson, no run, on a length outside off, defended towards the point fielder",11.1
"Hardik Pandya to Latham, no run, on a length outside off, punched off the front foot to mid-off",10.6
"Hardik Pandya to Latham, no run, fuller and around off, Latham gets across and defends it well",10.5
"Hardik Pandya to Latham, no run, back of a length outside off, Latham doesn't offer a stroke",10.4
"Hardik Pandya to Latham, no run, on a length around off stump, Latham stays back and defends it well",10.3
"Hardik Pandya to Ross Taylor, out Lbw!! Hardik strikes a massive blow! Just two deliveries for the all-rounder to get into the act. Was the fizzing nipbacker and Taylor was stuck on the crease as he tried to play around the front pad. Couldn't make contact and that was a rather easy decision for the umpire. Taylor did have a chat with Williamson before walking off. Perhaps not confident enough to review it. India firmly on top with this wicket. Ross Taylor lbw b Hardik Pandya 1(4)",10.2
"Hardik Pandya to Ross Taylor, no run, fuller and closer to off stump, defended well off the front foot",10.1
"Shami to Williamson, no run, back of a length, climbs off the pitch and Williamson mistimes the punch towards cover. He's struggling to get his timing going",9.6
"Shami to Williamson, no run, pitched up outside off, drives with hard hands and gets a thick inside edge onto the pad",9.5
"Shami to Williamson, no run, full and curving in a bit, Williamson works it softly towards mid-wicket",9.4
"Shami to Ross Taylor, 1 run, short of a length, wider lines and Taylor cuts it away down to third man to open his account",9.3
"Shami to Ross Taylor, no run, fuller and outside off, Taylor drives this back towards the bowler",9.2
"Shami to Munro, out Bowled!! Drags this onto the stumps! Munro finally runs out of luck and has to go. Shami has his second. Was a short of a length delivery that skid off the track, not the kind of pitch where you can stand and deliver the cut stroke but that's precisely what Munro tries. Goes real hard with no foot movement and can only inside edge this onto the sticks. Excellent first Powerplay so far for India. Munro b Shami 24(19) [4s-2 6s-1]",9.1
"Bhuvneshwar to Williamson, no run, fuller and closer to off, defended off the front foot towards point",8.6
"Bhuvneshwar to Munro, 1 run, full and angling in from around off, clipped away in front of square through the leg-side",8.5
"Bhuvneshwar to Munro, no run, short of a good length and Munro wants to heave it away. Doesn't connect",8.4
"Bhuvneshwar to Munro, 2 runs, another mishit, lands safe! Munro is living adventurously. Comes down the track for a straight loft but miscues it horribly. Uppish but manages to clear a backtrekking mid-off fielder, goes over him",8.3
"Bhuvneshwar to Munro, FOUR, in the air but Munro has picked his spot! Probably a touch too straight in line and he launched it on the leg-side. Aerial alright and not off the middle either but he splits deep backward square leg and deep mid-wicket",8.2
"Bhuvneshwar to Munro, no run, back of a length around off, cramps Munro for room and he adjusts with a punch to mid-off",8.1
"Shami to Williamson, no run, back of a length outside off, stabbed off the back foot towards cover",7.6
"Shami to Williamson, no run, fuller and just outside off, solidly defended off the front foot towards point",7.5
"Shami to Williamson, no run, fuller this time, tempting the drive but Williamson is content with easing it to mid-off",7.4
"Shami to Williamson, no run, shortish and skids through from outside off, Williamson is slightly off balance as he punches this to cover",7.3
"Shami to Williamson, no run, fuller and outside off, blocked off the front foot towards point",7.2
