Column1,Column2
"Boult to Rohit, 1 run, this is in the airrr and the man at mid-wicket is close for the uppishly flick shot, this ball evades him, would have been a dolly had he been on the circle. Shortish delivery from Boult, Rohit mistimes the pull as it jumps on him, hit high on the bat and he got away with it",6.1
"Southee to Rohit, 1 run, played off the outer half of the bat to third man",5.6
"Southee to Rohit, FOUR, he's had enough, jumps down the pitch and takes the attack to the bowler, goes for the lofted on-drive, but mistimes it past the non-striker, mid-on is very wide and he had no chance",5.5
"Southee to Rohit, no run, the yorker now from Southee, Rohit digs it out",5.4
"Southee to Rohit, no run, hit on the pad as Rohit misses the flick shot, good length delivery angled in, but was missing leg stump",5.3
"Southee to Dhawan, 1 run, driven off the front foot, but it was thickish edge that rolls along the ground to third man, 5000 ODI runs for Shikhar Dhawan - the second fastest Indian to the milestone. Gets a cheer from the crowd and he raises his bat",5.2
"Southee to Dhawan, no run, another slower delivery outside off stump, Dhawan leans forward and pushes it towards cover",5.1
"Boult to Rohit, no run, good length delivery around the off stump, Rohit defends",4.6
"Boult to Rohit, no run, nice and solid behind the line to defend",4.5
"Boult to Dhawan, leg byes, 1 run, clever bowling from Boult, as a batsman, you don't expect a new ball bowler to bowl slower balls early. Dhawan was completely deceived by the lack of pace on this low full toss, played the flick early, hit on the pad but was missing leg stump",4.4
"Boult to Dhawan, no run, now Dhawan wants to tap the ball with soft hands for a quick single, but he defended this right beside the pitch and it rolled towards the man at slip",4.3
"Boult to Dhawan, no run, oh the slower ball, Dhawan was early on the pull shot and he missed this completely, sneaked under the bat, could so easily have been a chop on",4.2
"Boult to Dhawan, no run, good length delivery on the stumps, Dhawan defends into the off-side",4.1
"Southee to Dhawan, 1 run, fuller one outside off, Dhawan bunts it to mid-off and pinches a single",3.6
"Southee to Dhawan, FOUR, leading edge but it's over the infield! For a moment, Dhawan would have been nervy as he got done in by bounce while trying the flick. Fortunately, it clears backward point and races away",3.5
"Southee to Dhawan, no run, width on offer and Dhawan drives on the up. Santner at cover puts in a superb save to stop a boundary",3.4
"Southee to Dhawan, no run, cracker of a ball! Southee is getting late swing. Nearly a yorker and Dhawan was on the move. Just about managed to jam it out",3.3
"Southee to Dhawan, no run, pitched up closer to off stump, Dhawan leans forward and defends to cover",3.2
"Southee to Dhawan, no run, very full and attacking the stumps, Dhawan shuffles a bit and somehow manages to dig it out to cover",3.1
"Boult to Rohit, no run, pace and carry on offer. The away angler from Boult and slants across Rohit from outside off. Left alone as Latham gathers it near his chest",2.6
"Boult to Rohit, no run, shortish and outside off, stands tall to defend to the off-side",2.5
"Boult to Rohit, no run, inside edge saves Rohit! Full and angling in from around off, he pushes with hard hands and is rapped on the back thigh",2.4
"Boult to Rohit, no run, very full and wide, Rohit squeezes it out towards th off-side",2.3
"Boult to Dhawan, 1 run, back of a length and Dhawan punches it off the back foot towards extra cover. Called for the single early",2.2
"Boult to Dhawan, no run, strong LBW shout but not given. Probably the angle is taking it down leg. Was fullish and slanting into Dhawan who missed the flick to be rapped on the pads",2.1
"Southee to Rohit, no run, fullish outswinger with a hint of shape, carefully defended off the front foot by Rohit",1.6
"Southee to Dhawan, 1 run, shortish and outside off, crunched off the back foot but stopped well at point",1.5
"Southee to Rohit, 1 run, sharp run pinched. Rohit had to hurry but the throw is eventually into his body. Direct hit could have got him! Was a firm push from him and he got an inside edge just past leg stump. They went for the single and Latham tried his best with a quick throw",1.4
"Southee to Rohit, no run, fuller and angling in on off stump, blocked out to mid-wicket",1.3
"Southee to Rohit, no run, slight mix up in the running. Rohit got a leading edge past Southee towards mid-on and initially called Dhawan for a run before sending him back",1.2
"Southee to Dhawan, 1 run, wide half volley and Dhawan drove this well towards extra cover who got a hand on it albeit not a clean gathering. They decide against the second run",1.1
"Boult to Rohit, no run, shortish and angling across Rohit who stabs this towards point",0.6
"Boult to Dhawan, 1 run, very full and on the pads, glanced away down to fine leg",0.5
"Boult to Dhawan, no run, angling in from outside off, patted back down the track to Boult",0.4
"Boult to Dhawan, no run, on a good length outside off, this time Dhawan is solid in his front foot defence",0.3
"Boult to Dhawan, no run, squares up Dhawan a bit with this full ball that was angling into him. Just moves a fraction off the pitch. Sliced to cover",0.2
"Boult to Rohit, 1 run, starts with a leg stumpish delivery that's glanced down to fine leg",0.1
